Plate,Parental Treatment,Offspring Treatment,D1,D2,D3,D4,D5,Treatment
1,Control,Control,18,120,131,15,1,C(C)
2,Control,Control,16,79,116,29,2,C(C)
3,Control,Control,20,116,129,36,3,C(C)
4,Control,Control,5,104,58,19,2,C(C)
5,Control,Control,20,85,83,54,38,C(C)
6,Control,Control,26,102,128,58,7,C(C)
7,Control,Control,13,99,70,20,10,C(C)
8,Control,Control,0,47,69,49,1,C(C)
9,Control,Control,19,89,63,21,14,C(C)
10,Control,Control,3,41,139,15,2,C(C)
11,Control,Control,13,96,111,51,17,C(C)
12,Control,Control,7,95,102,28,2,C(C)
13,Control,Control,10,66,61,47,20,C(C)
14,Control,Control,39,140,99,7,0,C(C)
15,Control,Control,20,113,100,1,1,C(C)
16,Control,Control,0,0,5,0,0,C(C)
17,Control,Control,10,84,63,33,2,C(C)
18,Control,Control,11,88,122,39,7,C(C)
19,Control,Control,22,92,49,21,18,C(C)
20,Control,Control,52,132,88,3,0,C(C)
21,Control,Control,29,107,135,25,0,C(C)
22,Control,Control,6,87,101,38,19,C(C)
23,Control,Control,31,126,121,18,1,C(C)
24,Control,Control,18,97,110,17,3,C(C)
25,Control,Control,20,81,76,32,22,C(C)
26,Control,Control,48,94,79,1,2,C(C)
27,Control,Control,0,60,45,45,0,C(C)
28,Control,Control,18,103,126,40,1,C(C)
29,Control,Control,26,71,85,37,6,C(C)
30,Control,Control,15,72,97,45,5,C(C)
31,Larval Starvation,Control,53,139,77,7,1,C(L)
32,Larval Starvation,Control,27,138,55,24,6,C(L)
33,Larval Starvation,Control,32,114,72,4,0,C(L)
34,Larval Starvation,Control,61,163,32,0,0,C(L)
35,Larval Starvation,Control,76,133,37,10,1,C(L)
36,Larval Starvation,Control,50,113,44,13,9,C(L)
37,Larval Starvation,Control,16,87,73,27,1,C(L)
38,Larval Starvation,Control,27,117,84,19,2,C(L)
39,Larval Starvation,Control,33,99,55,32,10,C(L)
40,Larval Starvation,Control,38,138,75,39,1,C(L)
41,Larval Starvation,Control,59,140,35,17,15,C(L)
42,Larval Starvation,Control,30,123,82,4,8,C(L)
43,Larval Starvation,Control,27,120,84,12,4,C(L)
44,Larval Starvation,Control,22,114,79,0,1,C(L)
45,Larval Starvation,Control,3,61,87,75,5,C(L)
46,Larval Starvation,Control,14,89,46,33,19,C(L)
47,Larval Starvation,Control,25,114,98,2,0,C(L)
48,Larval Starvation,Control,32,92,86,15,0,C(L)
49,Larval Starvation,Control,52,149,17,3,0,C(L)
50,Larval Starvation,Control,40,108,40,6,12,C(L)
51,Larval Starvation,Control,64,155,79,3,0,C(L)
52,Larval Starvation,Control,17,121,80,15,0,C(L)
