Parental Treatment,Treatment,Plate,Worm,Death_date,Cause,D1,Age,Event,TreatmentCode
Con,Con,1,1,05/04/2025,L,28/03/2025,8,0,cc
Con,Con,1,2,17/04/2025,D,28/03/2025,20,1,cc
Con,Con,1,3,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,1,4,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,1,5,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,1,6,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,1,7,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,1,8,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,1,9,23/04/2025,D,28/03/2025,26,1,cc
Con,Con,1,10,25/04/2025,D,28/03/2025,28,1,cc
Con,Con,2,11,01/04/2025,M,28/03/2025,4,0,cc
Con,Con,2,12,03/04/2025,M,28/03/2025,6,0,cc
Con,Con,2,13,05/04/2025,L,28/03/2025,8,0,cc
Con,Con,2,14,05/04/2025,L,28/03/2025,8,0,cc
Con,Con,2,15,08/04/2025,I,28/03/2025,11,0,cc
Con,Con,2,16,11/04/2025,I,28/03/2025,14,0,cc
Con,Con,2,17,11/04/2025,I,28/03/2025,14,0,cc
Con,Con,2,18,11/04/2025,I,28/03/2025,14,0,cc
Con,Con,2,19,11/04/2025,I,28/03/2025,14,0,cc
Con,Con,2,20,11/04/2025,I,28/03/2025,14,0,cc
Con,Con,3,21,07/04/2025,M,28/03/2025,10,0,cc
Con,Con,3,22,08/04/2025,M,28/03/2025,11,0,cc
Con,Con,3,23,16/04/2025,D,28/03/2025,19,1,cc
Con,Con,3,24,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,3,25,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,3,26,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,3,27,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,3,28,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,3,29,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,3,30,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,4,31,10/04/2025,M,28/03/2025,13,0,cc
Con,Con,4,32,14/04/2025,D,28/03/2025,17,1,cc
Con,Con,4,33,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,4,34,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,4,35,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,4,36,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,4,37,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,4,38,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,4,39,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,4,40,23/04/2025,D,28/03/2025,26,1,cc
Con,Con,5,41,08/04/2025,M,28/03/2025,11,0,cc
Con,Con,5,42,08/04/2025,M,28/03/2025,11,0,cc
Con,Con,5,43,08/04/2025,M,28/03/2025,11,0,cc
Con,Con,5,44,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,5,45,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,5,46,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,5,47,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,5,48,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,5,49,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,5,50,23/04/2025,D,28/03/2025,26,1,cc
Con,Con,6,51,09/04/2025,M,28/03/2025,12,0,cc
Con,Con,6,52,09/04/2025,M,28/03/2025,12,0,cc
Con,Con,6,53,17/04/2025,D,28/03/2025,20,1,cc
Con,Con,6,54,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,6,55,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,6,56,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,6,57,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,6,58,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,6,59,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,6,60,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,7,61,16/04/2025,D,28/03/2025,19,1,cc
Con,Con,7,62,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,7,63,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,7,64,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,7,65,19/04/2025,I,28/03/2025,22,0,cc
Con,Con,7,66,19/04/2025,I,28/03/2025,22,0,cc
Con,Con,7,67,19/04/2025,I,28/03/2025,22,0,cc
Con,Con,7,68,19/04/2025,I,28/03/2025,22,0,cc
Con,Con,7,69,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,7,70,28/04/2025,D,28/03/2025,31,1,cc
Con,Con,8,71,05/04/2025,L,28/03/2025,8,0,cc
Con,Con,8,72,14/04/2025,D,28/03/2025,17,1,cc
Con,Con,8,73,15/04/2025,D,28/03/2025,18,1,cc
Con,Con,8,74,16/04/2025,D,28/03/2025,19,1,cc
Con,Con,8,75,17/04/2025,D,28/03/2025,20,1,cc
Con,Con,8,76,17/04/2025,D,28/03/2025,20,1,cc
Con,Con,8,77,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,8,78,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,8,79,23/04/2025,D,28/03/2025,26,1,cc
Con,Con,8,80,24/04/2025,D,28/03/2025,27,1,cc
Con,Con,9,81,04/04/2025,D,28/03/2025,7,1,cc
Con,Con,9,82,14/04/2025,D,28/03/2025,17,1,cc
Con,Con,9,83,14/04/2025,D,28/03/2025,17,1,cc
Con,Con,9,84,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,9,85,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,9,86,19/04/2025,D,28/03/2025,22,1,cc
Con,Con,9,87,20/04/2025,D,28/03/2025,23,1,cc
Con,Con,9,88,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,9,89,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,9,90,21/04/2025,D,28/03/2025,24,1,cc
Con,Con,10,91,07/04/2025,D,28/03/2025,10,1,cc
Con,Con,10,92,07/04/2025,M,28/03/2025,10,0,cc
Con,Con,10,93,08/04/2025,M,28/03/2025,11,0,cc
Con,Con,10,94,09/04/2025,M,28/03/2025,12,0,cc
Con,Con,10,95,15/04/2025,D,28/03/2025,18,1,cc
Con,Con,10,96,16/04/2025,D,28/03/2025,19,1,cc
Con,Con,10,97,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,10,98,18/04/2025,D,28/03/2025,21,1,cc
Con,Con,10,99,12/04/2025,D,28/03/2025,15,1,cc
Con,Con,10,100,22/04/2025,D,28/03/2025,25,1,cc
L1,Con,11,101,01/04/2025,W,29/03/2025,3,0,lc
L1,Con,11,102,13/04/2025,D,29/03/2025,15,1,lc
L1,Con,11,103,15/04/2025,D,29/03/2025,17,1,lc
L1,Con,11,104,18/04/2025,D,29/03/2025,20,1,lc
L1,Con,11,105,20/04/2025,D,29/03/2025,22,1,lc
L1,Con,11,106,20/04/2025,D,29/03/2025,22,1,lc
