Plate,Parental Treatment,Offspring Treatment,D1,D2,D3,D4,D5,D6,Treatment
1,Larval Starvation,Control,0,56,136,37,1,0,C(L)
2,Larval Starvation,Control,0,54,138,54,4,1,C(L)
3,Larval Starvation,Control,0,118,126,60,2,0,C(L)
4,Larval Starvation,Control,0,30,129,72,35,0,C(L)
5,Larval Starvation,Control,0,48,78,37,11,2,C(L)
6,Larval Starvation,Control,0,26,103,116,7,0,C(L)
7,Larval Starvation,Control,0,0,40,72,58,42,C(L)
8,Larval Starvation,Control,0,23,120,59,7,0,C(L)
9,Larval Starvation,Control,0,50,152,46,0,0,C(L)
10,Larval Starvation,Control,0,42,139,58,4,0,C(L)
11,Larval Starvation,Control,0,69,122,22,7,3,C(L)
12,Larval Starvation,Control,0,23,107,84,2,0,C(L)
13,Larval Starvation,Control,0,33,109,110,41,5,C(L)
14,Larval Starvation,Control,0,78,147,79,1,1,C(L)
15,Larval Starvation,Control,0,39,146,51,4,15,C(L)
16,Larval Starvation,Control,0,7,48,10,26,73,C(L)
17,Larval Starvation,Control,0,23,126,71,25,4,C(L)
18,Larval Starvation,Control,0,46,146,53,0,0,C(L)
19,Larval Starvation,Control,0,5,95,61,16,9,C(L)
20,Larval Starvation,Control,0,44,127,78,11,1,C(L)
21,Larval Starvation,Control,0,19,107,64,13,0,C(L)
22,Larval Starvation,Control,0,14,109,63,8,5,C(L)
23,Larval Starvation,Control,0,31,83,67,33,20,C(L)
24,Larval Starvation,Control,0,51,151,87,5,0,C(L)
25,Larval Starvation,Control,0,56,113,71,23,10,C(L)
26,Larval Starvation,Control,0,8,96,90,20,2,C(L)
27,Larval Starvation,Control,0,5,100,84,23,1,C(L)
28,Larval Starvation,Control,0,13,101,43,12,13,C(L)
29,Larval Starvation,Control,0,15,109,94,10,0,C(L)
30,Larval Starvation,Control,0,46,128,60,10,1,C(L)
31,Larval Starvation,Larval Starvation,0,36,111,96,38,0,L(L)
32,Larval Starvation,Larval Starvation,0,35,109,62,16,3,L(L)
33,Larval Starvation,Larval Starvation,0,25,106,99,24,0,L(L)
34,Larval Starvation,Larval Starvation,0,22,123,48,67,3,L(L)
35,Larval Starvation,Larval Starvation,0,32,83,54,31,21,L(L)
36,Larval Starvation,Larval Starvation,0,25,97,101,24,3,L(L)
37,Larval Starvation,Larval Starvation,0,5,81,82,6,0,L(L)
38,Larval Starvation,Larval Starvation,0,25,84,61,29,13,L(L)
39,Larval Starvation,Larval Starvation,0,15,117,122,29,10,L(L)
40,Larval Starvation,Larval Starvation,0,30,91,125,25,2,L(L)
41,Larval Starvation,Larval Starvation,0,29,108,104,9,0,L(L)
42,Larval Starvation,Larval Starvation,0,26,109,111,35,2,L(L)
43,Larval Starvation,Larval Starvation,0,36,97,86,35,3,L(L)
44,Larval Starvation,Larval Starvation,0,22,94,73,11,1,L(L)
45,Larval Starvation,Larval Starvation,0,19,87,71,23,0,L(L)
46,Larval Starvation,Larval Starvation,0,26,85,93,3,9,L(L)
47,Larval Starvation,Larval Starvation,0,1,85,104,8,4,L(L)
48,Larval Starvation,Larval Starvation,0,13,70,38,33,4,L(L)
49,Larval Starvation,Larval Starvation,0,25,100,114,7,1,L(L)
50,Larval Starvation,Larval Starvation,0,13,89,77,19,8,L(L)
51,Larval Starvation,Larval Starvation,0,25,103,65,12,23,L(L)
52,Larval Starvation,Larval Starvation,0,8,76,47,10,2,L(L)
53,Larval Starvation,Larval Starvation,0,5,55,39,0,0,L(L)
54,Larval Starvation,Larval Starvation,0,14,65,60,28,18,L(L)
55,Larval Starvation,Larval Starvation,0,0,75,84,41,40,L(L)
56,Larval Starvation,Larval Starvation,0,21,124,69,1,1,L(L)
57,Larval Starvation,Larval Starvation,0,14,95,69,14,0,L(L)
58,Larval Starvation,Larval Starvation,0,1,89,112,69,8,L(L)
59,Larval Starvation,Larval Starvation,0,28,104,106,47,1,L(L)
60,Larval Starvation,Larval Starvation,1,22,118,82,17,13,L(L)
61,Control,Control,27,125,134,39,9,2,C(C)
62,Control,Control,16,106,131,40,0,0,C(C)
63,Control,Control,11,114,126,53,7,3,C(C)
64,Control,Control,14,109,142,37,1,1,C(C)
65,Control,Control,37,131,143,28,1,1,C(C)
66,Control,Control,2,80,34,22,17,7,C(C)
67,Control,Control,28,117,88,25,3,0,C(C)
68,Control,Control,30,143,86,15,1,2,C(C)
69,Control,Control,8,120,141,30,9,1,C(C)
70,Control,Control,10,123,122,36,5,6,C(C)
71,Control,Control,14,104,105,41,10,2,C(C)
72,Control,Control,16,114,130,25,10,1,C(C)
73,Control,Control,12,107,141,31,14,9,C(C)
74,Control,Control,49,0,,,,,C(C)
75,Control,Control,19,118,139,56,5,1,C(C)
76,Control,Control,0,96,138,25,1,0,C(C)
77,Control,Control,0,76,129,83,0,1,C(C)
78,Control,Control,9,118,153,0,0,0,C(C)
79,Control,Control,9,103,138,44,1,3,C(C)
80,Control,Control,12,104,99,52,20,5,C(C)
81,Control,Control,0,79,132,6,0,0,C(C)
82,Control,Control,5,108,126,57,5,2,C(C)
83,Control,Control,,,,,,,C(C)
84,Control,Control,9,114,148,17,0,0,C(C)
85,Control,Control,0,93,81,35,31,6,C(C)
86,Control,Control,0,73,121,64,17,3,C(C)
87,Control,Control,10,98,115,15,11,2,C(C)
88,Control,Control,3,97,127,42,2,1,C(C)
89,Control,Control,8,108,80,24,10,4,C(C)
90,Control,Control,14,117,148,62,2,1,C(C)
91,Control,Larval Starvation,0,78,80,37,0,1,L(C)
92,Control,Larval Starvation,0,75,106,36,7,17,L(C)
93,Control,Larval Starvation,0,46,59,38,26,30,L(C)
94,Control,Larval Starvation,0,57,122,73,27,2,L(C)
95,Control,Larval Starvation,17,97,72,33,3,2,L(C)
96,Control,Larval Starvation,0,90,88,36,11,2,L(C)
97,Control,Larval Starvation,0,65,66,46,35,11,L(C)
98,Control,Larval Starvation,0,68,74,79,47,8,L(C)
99,Control,Larval Starvation,0,49,95,74,52,23,L(C)
100,Control,Larval Starvation,0,46,76,54,42,22,L(C)
101,Control,Larval Starvation,0,66,79,83,57,28,L(C)
102,Control,Larval Starvation,0,54,92,44,16,12,L(C)
103,Control,Larval Starvation,0,72,110,31,16,9,L(C)
104,Control,Larval Starvation,0,34,52,50,37,24,L(C)
105,Control,Larval Starvation,0,41,51,49,16,20,L(C)
106,Control,Larval Starvation,0,66,59,59,45,49,L(C)
107,Control,Larval Starvation,1,77,106,51,17,9,L(C)
108,Control,Larval Starvation,0,62,79,89,33,13,L(C)
109,Control,Larval Starvation,3,79,98,75,8,1,L(C)
110,Control,Larval Starvation,0,60,35,24,,,L(C)
111,Control,Larval Starvation,0,64,73,58,5,0,L(C)
112,Control,Larval Starvation,0,82,115,24,4,8,L(C)
113,Control,Larval Starvation,0,76,92,32,9,12,L(C)
114,Control,Larval Starvation,1,64,59,48,43,25,L(C)
115,Control,Larval Starvation,0,67,69,81,44,11,L(C)
116,Control,Larval Starvation,0,56,76,63,29,15,L(C)
117,Control,Larval Starvation,,,,,,,L(C)
118,Control,Larval Starvation,0,70,107,93,27,3,L(C)
119,Control,Larval Starvation,0,67,102,100,9,1,L(C)
120,Control,Larval Starvation,0,37,108,68,0,0,L(C)
