Parental Treatment,Treatment,Plate,Worm,Death_date,Cause,D1,Age,Event,TreatmentCode,Day
Con,Con,1,1,23/04/2025,D,05/04/2025,18,1,cc,18
Con,Con,1,2,23/04/2025,D,05/04/2025,18,1,cc,18
Con,Con,1,3,25/04/2025,D,05/04/2025,20,1,cc,20
Con,Con,1,4,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,1,5,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,1,6,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,1,7,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,1,8,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,1,9,01/05/2025,D,05/04/2025,26,1,cc,26
Con,Con,1,10,03/05/2025,D,05/04/2025,28,1,cc,28
Con,Con,2,11,10/04/2025,W,05/04/2025,5,0,cc,5
Con,Con,2,12,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,2,13,16/04/2025,M,05/04/2025,11,0,cc,11
Con,Con,2,14,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,2,15,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,2,16,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,2,17,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,2,18,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,2,19,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,2,20,07/05/2025,D,05/04/2025,32,1,cc,32
Con,Con,3,21,12/04/2025,M,05/04/2025,7,0,cc,7
Con,Con,3,22,20/04/2025,D,05/04/2025,15,1,cc,15
Con,Con,3,23,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,3,24,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,3,25,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,3,26,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,3,27,25/04/2025,L,05/04/2025,20,0,cc,20
Con,Con,3,28,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,3,29,30/04/2025,D,05/04/2025,25,1,cc,25
Con,Con,3,30,04/05/2025,D,05/04/2025,29,1,cc,29
Con,Con,4,31,13/04/2025,M,05/04/2025,8,0,cc,8
Con,Con,4,32,17/04/2025,D,05/04/2025,12,1,cc,12
Con,Con,4,33,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,4,34,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,4,35,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,4,36,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,4,37,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,4,38,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,4,39,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,4,40,30/04/2025,D,05/04/2025,25,1,cc,25
Con,Con,5,41,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,5,42,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,5,43,25/04/2025,D,05/04/2025,20,1,cc,20
Con,Con,5,44,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,5,45,27/04/2025,D,05/04/2025,22,1,cc,22
Con,Con,5,46,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,5,47,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,5,48,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,5,49,30/04/2025,D,05/04/2025,25,1,cc,25
Con,Con,5,50,03/05/2025,D,05/04/2025,28,1,cc,28
Con,Con,6,51,20/04/2025,D,05/04/2025,15,1,cc,15
Con,Con,6,52,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,6,53,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,6,54,24/04/2025,D,05/04/2025,19,1,cc,19
Con,Con,6,55,25/04/2025,D,05/04/2025,20,1,cc,20
Con,Con,6,56,25/04/2025,D,05/04/2025,20,1,cc,20
Con,Con,6,57,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,6,58,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,6,59,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,6,60,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,7,61,07/04/2025,M,05/04/2025,2,0,cc,2
Con,Con,7,62,16/04/2025,M,05/04/2025,11,0,cc,11
Con,Con,7,63,25/04/2025,D,05/04/2025,20,1,cc,20
Con,Con,7,64,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,7,65,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,7,66,26/04/2025,D,05/04/2025,21,1,cc,21
Con,Con,7,67,28/04/2025,D,05/04/2025,23,1,cc,23
Con,Con,7,68,29/04/2025,D,05/04/2025,24,1,cc,24
Con,Con,7,69,30/04/2025,D,05/04/2025,25,1,cc,25
