"","Worm","Age","Treatment","Plate","Death_date","Cause","D1","Day","status"
"1",3,1,"Con",1,"11/04/2025","D","24/03/2025",18,0
"2",3,2,"Con",1,"11/04/2025","D","24/03/2025",18,0
"3",3,3,"Con",1,NA,"D",NA,NA,0
"4",3,4,"Con",1,"11/04/2025","D","24/03/2025",18,0
"5",3,5,"Con",1,NA,"D",NA,NA,0
"6",3,6,"Con",1,"11/04/2025","D","24/03/2025",18,0
"7",3,7,"Con",1,"11/04/2025","D","24/03/2025",18,0
"8",3,8,"Con",1,"11/04/2025","D","24/03/2025",18,0
"9",3,9,"Con",1,"11/04/2025","D","24/03/2025",18,0
"10",3,10,"Con",1,"11/04/2025","D","24/03/2025",18,0
"11",3,11,"Con",1,"11/04/2025","D","24/03/2025",18,0
"12",3,12,"Con",1,"11/04/2025","D","24/03/2025",18,0
"13",3,13,"Con",1,"11/04/2025","D","24/03/2025",18,0
"14",3,14,"Con",1,"11/04/2025","D","24/03/2025",18,0
"15",3,15,"Con",1,"11/04/2025","D","24/03/2025",18,0
"16",3,16,"Con",1,"11/04/2025","D","24/03/2025",18,0
"17",3,17,"Con",1,"11/04/2025","D","24/03/2025",18,0
"18",3,18,"Con",1,"11/04/2025","D","24/03/2025",18,1
"19",4,1,"Con",1,"12/04/2025","D","24/03/2025",19,0
"20",4,2,"Con",1,"12/04/2025","D","24/03/2025",19,0
"21",4,3,"Con",1,NA,"D",NA,NA,0
"22",4,4,"Con",1,"12/04/2025","D","24/03/2025",19,0
"23",4,5,"Con",1,NA,"D",NA,NA,0
"24",4,6,"Con",1,"12/04/2025","D","24/03/2025",19,0
"25",4,7,"Con",1,"12/04/2025","D","24/03/2025",19,0
"26",4,8,"Con",1,"12/04/2025","D","24/03/2025",19,0
"27",4,9,"Con",1,"12/04/2025","D","24/03/2025",19,0
"28",4,10,"Con",1,"12/04/2025","D","24/03/2025",19,0
"29",4,11,"Con",1,"12/04/2025","D","24/03/2025",19,0
"30",4,12,"Con",1,"12/04/2025","D","24/03/2025",19,0
"31",4,13,"Con",1,"12/04/2025","D","24/03/2025",19,0
"32",4,14,"Con",1,"12/04/2025","D","24/03/2025",19,0
"33",4,15,"Con",1,"12/04/2025","D","24/03/2025",19,0
"34",4,16,"Con",1,"12/04/2025","D","24/03/2025",19,0
"35",4,17,"Con",1,"12/04/2025","D","24/03/2025",19,0
"36",4,18,"Con",1,"12/04/2025","D","24/03/2025",19,0
"37",4,19,"Con",1,"12/04/2025","D","24/03/2025",19,1
"38",5,1,"Con",1,"13/04/2025","D","24/03/2025",20,0
"39",5,2,"Con",1,"13/04/2025","D","24/03/2025",20,0
