Plate,Generation,Parental Treatment,Offspring Treatment,D1,D2,D3,D4,D5,D6,Treatment
1,F1,Control,Control,18,120,131,15,1,0,C(C)
2,F1,Control,Control,16,79,116,29,2,0,C(C)
3,F1,Control,Control,20,116,129,36,3,0,C(C)
4,F1,Control,Control,5,104,58,19,2,0,C(C)
5,F1,Control,Control,20,85,83,54,38,0,C(C)
6,F1,Control,Control,26,102,128,58,7,0,C(C)
7,F1,Control,Control,13,99,70,20,10,0,C(C)
8,F1,Control,Control,0,47,69,49,1,0,C(C)
9,F1,Control,Control,19,89,63,21,14,0,C(C)
10,F1,Control,Control,3,41,139,15,2,0,C(C)
11,F1,Control,Control,13,96,111,51,17,0,C(C)
12,F1,Control,Control,7,95,102,28,2,0,C(C)
13,F1,Control,Control,10,66,61,47,20,0,C(C)
14,F1,Control,Control,39,140,99,7,0,0,C(C)
15,F1,Control,Control,20,113,100,1,1,0,C(C)
16,F1,Control,Control,0,0,5,0,0,0,C(C)
17,F1,Control,Control,10,84,63,33,2,0,C(C)
18,F1,Control,Control,11,88,122,39,7,0,C(C)
19,F1,Control,Control,22,92,49,21,18,0,C(C)
20,F1,Control,Control,52,132,88,3,0,0,C(C)
21,F1,Control,Control,29,107,135,25,0,0,C(C)
22,F1,Control,Control,6,87,101,38,19,0,C(C)
23,F1,Control,Control,31,126,121,18,1,0,C(C)
24,F1,Control,Control,18,97,110,17,3,0,C(C)
25,F1,Control,Control,20,81,76,32,22,0,C(C)
26,F1,Control,Control,48,94,79,1,2,0,C(C)
27,F1,Control,Control,0,60,45,45,0,0,C(C)
28,F1,Control,Control,18,103,126,40,1,0,C(C)
29,F1,Control,Control,26,71,85,37,6,0,C(C)
30,F1,Control,Control,15,72,97,45,5,0,C(C)
31,F1,Larval Starvation,Control,53,139,77,7,1,0,C(L)
32,F1,Larval Starvation,Control,27,138,55,24,6,0,C(L)
33,F1,Larval Starvation,Control,32,114,72,4,0,0,C(L)
34,F1,Larval Starvation,Control,61,163,32,0,0,0,C(L)
35,F1,Larval Starvation,Control,76,133,37,10,1,0,C(L)
36,F1,Larval Starvation,Control,50,113,44,13,9,0,C(L)
37,F1,Larval Starvation,Control,16,87,73,27,1,0,C(L)
38,F1,Larval Starvation,Control,27,117,84,19,2,0,C(L)
39,F1,Larval Starvation,Control,33,99,55,32,10,0,C(L)
40,F1,Larval Starvation,Control,38,138,75,39,1,0,C(L)
41,F1,Larval Starvation,Control,59,140,35,17,15,0,C(L)
42,F1,Larval Starvation,Control,30,123,82,4,8,0,C(L)
43,F1,Larval Starvation,Control,27,120,84,12,4,0,C(L)
44,F1,Larval Starvation,Control,22,114,79,0,1,0,C(L)
45,F1,Larval Starvation,Control,3,61,87,75,5,0,C(L)
46,F1,Larval Starvation,Control,14,89,46,33,19,0,C(L)
47,F1,Larval Starvation,Control,25,114,98,2,0,0,C(L)
48,F1,Larval Starvation,Control,32,92,86,15,0,0,C(L)
49,F1,Larval Starvation,Control,52,149,17,3,0,0,C(L)
50,F1,Larval Starvation,Control,40,108,40,6,12,0,C(L)
51,F1,Larval Starvation,Control,64,155,79,3,0,0,C(L)
52,F1,Larval Starvation,Control,17,121,80,15,0,0,C(L)
53,F1,Larval Starvation,Control,23,104,69,2,1,0,C(L)
54,F1,Larval Starvation,Control,32,110,81,12,0,0,C(L)
55,F1,Larval Starvation,Control,14,96,43,11,14,0,C(L)
56,F1,Larval Starvation,Control,16,92,72,32,1,0,C(L)
57,F1,Larval Starvation,Control,27,111,46,9,20,0,C(L)
58,F1,Larval Starvation,Control,52,128,95,12,7,0,C(L)
59,F1,Larval Starvation,Control,19,101,92,27,0,0,C(L)
60,F1,Larval Starvation,Control,16,76,61,48,2,0,C(L)
61,F1,Control,Larval Starvation,0,54,128,32,1,0,L(C)
62,F1,Control,Larval Starvation,0,74,100,36,58,0,L(C)
63,F1,Control,Larval Starvation,0,5,109,67,44,0,L(C)
64,F1,Control,Larval Starvation,0,29,130,53,6,0,L(C)
65,F1,Control,Larval Starvation,0,9,109,39,25,0,L(C)
66,F1,Control,Larval Starvation,0,39,79,40,34,0,L(C)
67,F1,Control,Larval Starvation,0,27,103,44,4,0,L(C)
68,F1,Control,Larval Starvation,0,19,42,28,26,0,L(C)
69,F1,Control,Larval Starvation,0,32,95,40,24,0,L(C)
70,F1,Control,Larval Starvation,0,37,123,12,18,0,L(C)
71,F1,Control,Larval Starvation,0,23,65,59,41,0,L(C)
72,F1,Control,Larval Starvation,0,26,105,67,30,0,L(C)
73,F1,Control,Larval Starvation,0,18,110,75,47,0,L(C)
74,F1,Control,Larval Starvation,0,63,92,61,14,0,L(C)
